Study_Hours,Sleep_Hours,Practice_Tests,Classes_Attended,Final_Score
4.370861069626263,7.490808570098726,3,28,87.157478468383
9.556428757689245,6.680481831720602,5,13,98.99151981174212
7.587945476302646,5.547638081431639,2,7,83.34452992543613
6.387926357773329,8.068975098534743,4,14,85.62240261535959
2.4041677639819286,7.4236558627693965,0,23,61.122435198032896
2.403950683025824,4.813084696724457,4,7,54.40093926189289
1.5227525095137953,8.554635922469213,5,26,76.01850379564503
8.795585311974417,8.112686214615845,5,19,101.33928388028647
6.41003510568888,8.74899956645962,0,5,68.80109203204375
7.372653200164409,7.6285975419418,1,11,80.24664498083087
1.185260448662222,7.0670759796789495,0,16,45.59032814646663
9.72918866945795,6.091215181453094,3,21,93.39323997050931
8.491983767203795,8.663642416770067,2,25,89.86456908515899
2.9110519961044856,8.330319447502042,1,28,73.02717846137342
2.636424704863906,4.226093350530947,0,24,52.98958477298851
2.650640588680904,4.13183487248626,4,9,48.71407258598353
3.7381801866358395,5.882316834390248,1,8,56.59960050957051
5.72280788469014,8.052766653909163,1,16,83.60378353170053
4.887505167779041,8.936380646574722,0,24,74.5740605787082
3.6210622617823773,4.752084455517641,1,28,72.17686995910374
6.506676052501415,6.970653576760675,4,22,89.66334003558765
2.2554447458683766,5.904454283155108,5,21,70.41062416837579
3.629301836816963,8.849571989073016,1,23,74.68252218123693
4.297256589643226,8.210594615678543,5,13,75.89244840015773
5.104629857953324,8.19164352355569,4,8,74.7278689024111
8.066583652537123,6.343465798974851,0,25,87.10161635966338
2.7970640394252375,6.074097511688326,2,6,49.825572630373856
5.628109945722504,5.367035359653531,1,8,66.74521719337766
6.331731119758382,4.281877483254636,2,6,65.01576723701304
1.4180537144799796,8.323611881275266,4,19,63.04367889910143
6.467903667112945,8.064505045650389,1,6,71.14836344476544
2.5347171131856236,8.998588366430653,5,8,62.710237631817144
1.5854643368675156,8.983184185369527,3,10,57.72209042343462
9.539969835279999,6.777158528013137,2,11,87.85912606420288
9.690688297671034,7.8449370759025525,1,14,93.9190852166998
8.275576133048151,8.723828649412141,2,23,96.6246285043547
3.741523922560336,8.248236953387057,1,23,70.50910524662153
1.8790490260574548,5.236740508715988,0,26,60.38189657713367
7.158097238609412,6.252720676550467,5,16,94.95134878463729
4.961372443656412,4.645797075757475,2,7,63.12611283549752
2.0983441136030097,8.770255136293612,3,17,65.23934169502749
5.456592191001432,7.030873172254401,3,22,76.45362968848741
1.3094966900369656,5.143214027517313,4,12,50.947101494140824
9.18388361870904,7.358503422029283,1,25,94.14433259981594
3.3290198344001523,7.090641202289479,2,19,64.37850224959777
6.962700559185838,5.790813590164202,4,5,75.2704876896408
3.8053996848046987,4.567787960998145,2,7,55.802580222706794
